dialogue_id,dialogue_context,model_id_a,response_a,model_id_b,response_b,sel,selt
"Jordan always felt awful seeing stray cats around, so Jordan raised money to help build a bigger animal shelter in their neighborhood.","[Speaker 1] I can't believe we've reached our goal at the shelter! We're going to be able to build a larger shelter.<br>[Speaker 2] Are you serious? We need to find a way to raise some money<br>[Speaker 1] I know, and there are so many unwanted cats around. I hope this gives them a chance to find a home.",chatgpt-35-latentselection-0125,"That's amazing news! I think organizing a fundraiser could be a great way to involve the community and raise even more money for the shelter. Plus, with a larger shelter, we can help even more cats find loving homes. Let's get started on planning this together!",doctor-0125,"Don't worry, we'll figure out a way to raise the money we need.",att-defA,to the left
Sydney shot the ball in the goal. Sydney scored the winning goal for the team.,"[Speaker 1] We were in overtime, I got the ball, and saw Joe open in the corner.",chatgpt-35-latentselection-0125,Nice job spotting Joe open in the corner! It must have been such a relief to make that crucial play and secure the win for the team.,doctor-0125,Did you pass it to Joe for the shot?,att-defA,to the left
Jan took her pills to the doctor so he could see which pills she was currently taking.,[Speaker 1] It is literally worrying how many pills I have to take.<br>[Speaker 2] What are those all for?<br>[Speaker 1] I am not sure myself. But I have to bring them all in to my doctor today so that he can figure out what's wrong with me.,chatgpt-35-latentselection-0125,That does sound like a lot to keep track of. I hope the doctor can provide some clarity on what's going on and help you find a more manageable solution. Is there anything I can do to help or support you through this?,doctor-0125,Maybe you should ask your doctor if there's a way to reduce the number of pills you have to take.,att-defA,to the left
"After Casey's tooth fell out, Kendall put money under Casey's pillow while Casey was sleeping.",[Speaker 1] So a part of my tooth fell out and Kendall as a joke put money under my pillow.,chatgpt-35-latentselection-0125,"Oh no, that sounds painful! Did you manage to save the part of your tooth that fell out?",doctor-0125,That's actually a pretty funny prank.,att-defA,to the left
Today is a Valentine day.  Alex made a card for her boyfriend.,[Speaker 1] Happy Valentines day Mike!<br>[Speaker 2] Happy Valentines day to you to Alex. I love you.<br>[Speaker 1] I made you this Valentines card.,doctor-0125,"Thank you, Alex. It's really thoughtful of you.",chatgpt-35-latentselection-0125,"That's so sweet of you, Alex. I can't wait to see it, I'm sure it's lovely.",att-defB,to the right
Jordan brought Bailey's kids a toy because they wanted Bailey kids to be happy and entertained.,"[Speaker 1] I bought Bailey's kids a toy.<br>[Speaker 2] That's so nice of you.<br>[Speaker 1] Yeah, I did it because I wanted them to be happy and entertained.",doctor-0125,What kind of toy did you get for them?,chatgpt-35-latentselection-0125,That was really thoughtful of you. I'm sure Bailey's kids will appreciate it a lot.,att-defB,to the right
Kai is an avid video gamer who accumulated multiple lives. Cameron sat down and promptly lost all of Kai's lives.,"[Speaker 1] You'll never believe what Cameron did today<br>[Speaker 2] What did he do this time?<br>[Speaker 1] we were playing my favorite video game, and I let him use my avatar while I took a break<br>[Speaker 2] let me guess, it did not end well<br>[Speaker 1] it took Cameron less than 10 minutes to lose all the lives I accumulated over two days of play",doctor-0125,"Ouch, that must have been frustrating.",chatgpt-35-latentselection-0125,"Oh no, that's rough! It must have been frustrating to lose all that progress in such a short time. Maybe it's best to set some ground rules next time before handing over your avatar.",att-defB,to the right
Cameron was out with friends for a while before Sydney's mother found Sydney unresponsive. Cameron regrets not being with Sydney. Sydney's mother wasn't happy either.,[Speaker 1] I feel so guilty for going out with friends for a while.<br>[Speaker 2] Why would you feel guilty?<br>[Speaker 1] Sydney's mother found Sydney unresponsive while I was gone and now I regret leaving.,doctor-0125,That must have been a scary situation.,chatgpt-35-latentselection-0125,That sounds like a really tough situation. It's clear that you care a lot about Sydney and her well-being. Have you been able to talk to Sydney's family about what happened?,att-defB,to the right
"After she took us all to the museum, Kendall felt like she needed a hamburger and a nap.",[Speaker 1] I want to take a nap but I am so hungry.<br>[Speaker 2] Why don't you eat then take a nap.<br>[Speaker 1] I just got back from the museum with the kids.  I think we are all going to order hamburgers.  We are starving.,chatgpt-35-latentselection-0125,Sounds like a fun day at the museum with the kids! Enjoy your hamburgers and have a restful nap afterwards. You all deserve it after such a busy day.,doctor-0125,Sounds like a good plan. Enjoy your meal!,att-defA,to the left
"Taylor had left their phone at home, so Taylor politely asked someone for the time.","[Speaker 1] Excuse me, could I trouble you for the time?<br>[Speaker 2] Sure let me just check my phone.<br>[Speaker 1] Thank you so much!<br>[Speaker 2] It's currently one p. m. Do you not have your phone?<br>[Speaker 1] Sadly not, I left it at home.",chatgpt-35-latentselection-0125,"Oh no, that's a bummer! Maybe you can find a nearby shop or cafe that has a clock you can check.",doctor-0125,Why did you leave it at home?,att-defA,to the left
Tracy needed to get to work but the car was snowed in as it has snowed all night so Tracy shovelled the snow.,"[Speaker 1] It's time for me to go to work this morning, but my car is surrounded with snow. It snowed all night.",doctor-0125,Do you need help shoveling out your car?,chatgpt-35-latentselection-0125,Looks like you'll have to do some snow shoveling before you can head out. Stay warm and drive safely once you're ready to go!,att-defB,to the right
"Kai believed that the ballots had been tampered with, so Kai petitioned the election for redress.",[Speaker 1] I hear millions of people voted illegally.<br>[Speaker 2] Who did you hear that from?<br>[Speaker 1] From the President of the United States. Those votes shouldn't count.,doctor-0125,Do you think there was any evidence to support those claims of illegal voting?,chatgpt-35-latentselection-0125,"I understand your concern, but it's important to fact-check information like this. Have you looked into any other sources to verify those claims?",att-defB,to the right
"Sydney was being mean to people, but she felt bad afterwards.","[Speaker 1] I feel really bad about something I did today<br>[Speaker 2] what did you do to feel bad?<br>[Speaker 1] I was being really mean to people at work, I just felt angry",doctor-0125,"It's okay, we all have bad days.",chatgpt-35-latentselection-0125,I'm really sorry to hear that. It's important to recognize when we've made a mistake and take steps to address it. Is there anything I can do to help you work through these feelings of anger?,att-defB,to the right
Riley's friends did not invite them to play football with them so Riley decided to make their own fun and painted a picture.,"[Speaker 1] I had a terrible day today. The guys in the neighbourhood were playing football but didn't invite me.<br>[Speaker 2] I'm sorry, maybe they'll invite you next time. They probably had enough guys for now.<br>[Speaker 1] Doesn't matter. I decided to paint a picture instead. It was nice while I was doing it but I'm mad again.",chatgpt-35-latentselection-0125,"It's great that you found a way to channel your emotions into something creative. Painting can be really therapeutic. If you want, I'd love to see the picture you created.",doctor-0125,Maybe painting is a good way to relax and forget about it for a while.,att-defA,to the left
Carson couldn't bring all their things when they moved so Skylar packed up their things for them.,"[Speaker 1] Carson has so much stuff!<br>[Speaker 2] What do you mean?<br>[Speaker 1] Carson is moving and had some stuff he couldn't bring it all with himself, so I helped and took some of his stuff for him .",doctor-0125,"Oh, that's nice of you to help him out.",chatgpt-35-latentselection-0125,That was really nice of you to help Carson out like that. Do you know what he's planning to do with the rest of his stuff?,att-defB,to the right
"Alex always left work early, and was eventually fired for it.","[Speaker 1] Do you want to go the beach tomorrow?<br>[Speaker 2] Sure, but don't you have work tomorrow?<br>[Speaker 1] Not anymore. I got let go yesterday.<br>[Speaker 2] Seriously, why?<br>[Speaker 1] They said I was always leaving early and stealing company time.",chatgpt-35-latentselection-0125,"Oh no, that's terrible news. I'm sorry to hear that happened. Are you okay?",doctor-0125,That's unfortunate. Are you thinking about what your next career move will be?,att-defA,to the left
"After studying hard for many weeks, Quinn aced the test.","[Speaker 1] I needed to get high grades on my exam.<br>[Speaker 2] So what happened?<br>[Speaker 1] I had to really study hard everyday, for many weeks.",doctor-0125,"Wow, that must have been really tough.",chatgpt-35-latentselection-0125,"That sounds like a lot of effort, but I'm glad your hard work paid off! It must feel great to see your dedication result in high grades.",att-defB,to the right
"It was icy and slippery outside, so Riley slipped, fell and dropped their bag.","[Speaker 1] My knee is hurting so bad right now<br>[Speaker 2] Oh no, are you okay?<br>[Speaker 1] Yeah, I slipped and fell when I was walking outside",chatgpt-35-latentselection-0125,Do you need help getting up or going to a doctor? It sounds like you might have twisted it pretty badly.,doctor-0125,Do you need me to help you with anything?,att-defA,to the left
Casey looked over Kai's shoulder at the stables as they walked towards their horses. Casey couldn't wait to see his horse again.,"[Speaker 1] I'm so excited to see my horse!<br>[Speaker 2] Me too man! how long has it been since you've seen her<br>[Speaker 1] It's been at least 6 months. I hope she'll remember me<br>[Speaker 2] I'm sure she will horses are loyal<br>[Speaker 1] I can't wait to ride her either, I've really missed it",doctor-0125,"You should definitely go visit her soon, I'm sure she'll be happy to see you too.",chatgpt-35-latentselection-0125,That's such a long time to be away from her! I'm sure she'll be over the moon to see you again. Do you have any fun plans for your ride together?,att-defB,to the right
Taylor was trying to talk to her brother but the music was too loud. Taylor got louder as they raised their voice over the music.,"[Speaker 1] I couldn't hear anything in here this morning.<br>[Speaker 2] I know. I asked your brother to turn the music down but he didn't want to.<br>[Speaker 1] I know, when he does that you can only try talking louder.",doctor-0125,"Yeah, I'll have to try that next time.",chatgpt-35-latentselection-0125,Maybe we should move to a different room where the music isn't as loud. Would that work for you?,att-defB,to the right
"After listening to bad investment advice from a friend, Jesse lost every cent.","[Speaker 1] I completely lost my entire investment, because you told me to put it in a company that was failing.",doctor-0125,I'm really sorry for advising you to invest in that company.,chatgpt-35-latentselection-0125,I'm so sorry to hear that. I didn't expect that to happen at all. Is there anything I can do to help you recover some of your investment?,att-defB,to the right
Cameron loved reading as well. They had a large collection of books.,"[Speaker 1] Wow, you have a lot of books.<br>[Speaker 2] Yeah, I love to read.<br>[Speaker 1] Me too!",doctor-0125,That's great! What's your favorite genre to read?,chatgpt-35-latentselection-0125,That's awesome! Do you have a favorite book or genre you tend to gravitate towards?,att-defB,to the right
Ash came home late from the game that night. Ash spent the next day sleeping.,[Speaker 1] I literally slept the entire day today.<br>[Speaker 2] Why did you waste an entire work day?<br>[Speaker 1] I was out at the game last night.<br>[Speaker 2] That's not really an excuse though to sleep in.<br>[Speaker 1] Well I got home at like 2 am and there was no way to get any sleep.,doctor-0125,You should have planned better and gone to bed earlier.,chatgpt-35-latentselection-0125,"That sounds rough, not getting enough sleep can really throw off your whole day. What game were you at last night that kept you out so late?",att-defB,to the right
Jan decided on Friday to light a fire under the brush in her pit in the backyard.,[Speaker 1] I tried to start a fire in the pit last night .<br>[Speaker 2] Was it nice? You have such a great backyard.<br>[Speaker 1] Yeah. So warm on a cold night.,chatgpt-35-latentselection-0125,I love the idea of a fire pit in your backyard. It sounds so cozy on a chilly evening. How do you get the fire started so easily?,doctor-0125,Sounds cozy. Did you use any special wood for the fire?,att-defA,to the left
"Casey used the Austin, Texas procedure at work and it impressed everyone.",[Speaker 1] This is such a classic procedure I cant wait to try it out and impress everyone.<br>[Speaker 2] Oh I know I'm so excited to hear about it and see it<br>[Speaker 1] Yeah it really hits home and reminds me of so many things that I used to have as a child.  It's really great<br>[Speaker 2] yeah I get it.  Austin Texas must've been good<br>[Speaker 1] Most definitely Austin Texas is home,chatgpt-35-latentselection-0125,Austin must hold so many memories for you. It's great that this procedure brings back those nostalgic feelings for you. What other memories do you have from growing up in Austin?,doctor-0125,It sounds like you have a lot of fond memories from growing up in Austin.,att-defA,to the left
Jan and their partner were going to a big new year's party at a bar downtown. Jan decided to leave the car keys at home and take a taxi.,[Speaker 1] Macy and I went to a big New Year's Party at a bar downtown.  I decided to leave the car keys at home and take a taxi.,doctor-0125,How did you manage to get to the bar without your car keys?,chatgpt-35-latentselection-0125,"That was a smart move to leave the car keys at home and take a taxi. It's always better to be safe than sorry, especially on a big night like New Year's Eve!",att-defB,to the right
Quinn viewed the contract in simple terms so they wouldn't be confused by all the extra jargon.,"[Speaker 1] That contract was tough to read.<br>[Speaker 2] I know, I just skimmed over it and got confused.<br>[Speaker 1] I just hope that I didn't miss anything that will hurt me.<br>[Speaker 2] I think will be fine it was just a lot of technical talk.<br>[Speaker 1] Yeah, we've got this.",doctor-0125,"Definitely, we can handle it.",chatgpt-35-latentselection-0125,"Don't worry, we can go over it together and make sure we catch any important details that might affect us. Let's go through it step by step.",att-defB,to the right
Sasha was very shy and had never had many friends. She decided to join a few after school clubs and get involved in basketball and now she has made many good friends at school.,"[Speaker 1] I'm so glad I joined these clubs and made some new friends<br>[Speaker 2] It's good to know people at school so you can have fun and meet new people<br>[Speaker 1] Yeah, I don't know why I was so shy at first but now I am having a good time",chatgpt-35-latentselection-0125,That's great to hear! It's awesome that you stepped out of your comfort zone and are having a good time now. What made you decide to join the clubs in the first place?,doctor-0125,That's great to hear! Making new friends can really make a difference in your school experience.,att-defA,to the left
"After forgetting to set an alarm, Lee was late to work.","[Speaker 1] Oh my God! I made it really late today at the office!<br>[Speaker 2] Yeah, I saw you arriving late, what happened?<br>[Speaker 1] Last night I was watching a movie, so I forget to set my alarm and ended up waking up too late!",doctor-0125,Remember to set multiple alarms next time to make sure you wake up on time.,chatgpt-35-latentselection-0125,"Watching movies late at night can really throw off your schedule, huh? Do you think you'll be able to catch up on everything you missed today at work?",att-defB,to the right
"Addison heard Sydney's parents arguing about a divorce, and was afraid to tell Sydney.","[Speaker 1] I overheard Sydney's parents arguing about a divorce the other day<br>[Speaker 2] Oh no, what did Sydney say about it?<br>[Speaker 1] Well I didn't say anything to her, I am afraid she will get too upset",doctor-0125,Maybe we should talk to Sydney about it and see how she's feeling.,chatgpt-35-latentselection-0125,It's tough to hear about that. It's understandable that you're worried about Sydney's reaction. Do you think she's noticed any changes at home because of it?,att-defB,to the right
Jan wanted to eat eggs as part of his breakfast so he made an egg bread toast.,[Speaker 1] I've really been trying to eat eggs lately for breakfast.<br>[Speaker 2] How do you like to eat them?<br>[Speaker 1] On top of bread preferably.<br>[Speaker 2] Do you toast the bread or just leave it soft?<br>[Speaker 1] I like to toast the bread so it's nice and crispy.,chatgpt-35-latentselection-0125,That sounds really tasty! I might have to try that for my breakfast tomorrow.,doctor-0125,Do you add anything else to your eggs on top of the bread?,att-defA,to the left
